Date,Open,High,Low,Close,Adj Close,Volume,return,,return,Number,,,,,,New Price n1,New price n2,Number,,,
2018/2/8,1429.680054,1433.75,1349.939941,1350.5,1350.5,8444800,-0.046782159,,-0.247660683,1,,,,,,1389.847774,93.150002,1,,,
2018/2/7,1449,1460.98999,1415.150024,1416.780029,1416.780029,7162700,-0.018061557,,-0.218219708,2,,,,,,1416.780029,93.379997,2,,,
2018/2/6,1361.459961,1443.98999,1351.790039,1442.839966,1442.839966,11066800,0.038014364,,-0.20908943,3,,,,,,1442.839966,93.43,3,,,
2018/2/5,1402.619995,1458.97998,1320.719971,1390,1390,11495000,-0.027938006,,-0.2,4,,,,,,1390,93.480003,4,Historical,Value,Number
2018/2/2,1477.390015,1498,1414,1429.949951,1429.949951,11125700,0.028740972,,-0.193452381,5,,,,,,1429.949951,92.589996,5,VaR(95) 1,987.580017,130.45
2018/2/1,1445,1459.880005,1385.140015,1390,1390,9113800,-0.041967354,,-0.191774698,6,,Total Count,R=2,M/R=2609,,1390,91.300003,6,VaR(99) 1,1204.199951,26.09
2018/1/31,1451.300049,1472.579956,1450.040039,1450.890015,1450.890015,6424700,0.009090199,,-0.166153846,7,,5218,,,,1450.890015,89.650002,7,,,
2018/1/30,1403.170044,1439.25,1392,1437.819946,1437.819946,5871900,0.014206232,,-0.163486842,8,,,,,,1437.819946,89,8,VaR(95) 2,39.369999,130.45
2018/1/29,1409.180054,1431.390015,1400.439941,1417.680054,1417.680054,5701900,0.011147965,,-0.161016949,9,,Historical,,,,1417.680054,88.75,9,VaR(99) 2,77.300003,26.09
2018/1/26,1392.01001,1402.530029,1380.910034,1402.050049,1402.050049,4857300,0.017489821,,-0.15025919,10,,,Value,Number,,1402.050049,86.910004,10,,,
2018/1/25,1368,1378.339966,1357.619995,1377.949951,1377.949951,4753000,0.015056936,,-0.148741419,11,,VaR(95),-0.052224823,260.9,,1377.949951,87.769997,11,Monte Carlo,,
2018/1/24,1374.819946,1388.160034,1338,1357.51001,1357.51001,6807500,-0.003691656,,-0.148558758,12,,VaR(99),-0.105690927,52.18,,1357.51001,87.260002,12,VaR(95) mean,513.475008,
2018/1/23,1338.089966,1364.900024,1337.339966,1362.540039,1362.540039,5169300,0.026542389,,-0.148480319,13,,Largest P,0.344713656,,,1362.540039,87.300003,13,VaR(99) mean,640.749977,
2018/1/22,1297.170044,1327.449951,1296.660034,1327.310059,1327.310059,4140100,0.025282411,,-0.146370603,14,,Largest L,-0.247660683,,,1327.310059,86.279999,14,,,
