Date,Open,High,Low,Close,Adj Close,Volume,Return Series
09/02/2018,5915.790039,6046.640137,5595.970215,6024.419922,6024.419922,5064944,0.018362701
08/02/2018,5476.220215,6218.240234,5473.850098,5915.790039,5915.790039,11854576,0.081970036
07/02/2018,5591.160156,6250.129883,5213.379883,5467.609863,5467.609863,18279046,-0.022097434
06/02/2018,4971.220215,5758.390137,4214.970215,5591.160156,5591.160156,22850941,0.124705789
05/02/2018,5831.609863,5963.040039,4590.180176,4971.220215,4971.220215,20381767,-0.147309421
04/02/2018,6573.899902,6662.060059,5598.649902,5830.040039,5830.040039,6958947,-0.113153512
03/02/2018,6225.459961,6741.370117,5778.970215,6573.899902,6573.899902,7452848,0.055970152
02/02/2018,6297.950195,6477.049805,5233.319824,6225.459961,6225.459961,22125955,-0.011510131
01/02/2018,7070.810059,7285.810059,5864.870117,6297.950195,6297.950195,17321695,-0.115879887
31/01/2018,7074.069824,7295.290039,6843.609863,7123.410156,7123.410156,12036381,0.006974816
30/01/2018,7989.740234,7995.720215,6958,7074.069824,7074.069824,12474685,-0.11460578
29/01/2018,8124.390137,8174.379883,7836.72998,7989.740234,7989.740234,8598034,-0.01657354
28/01/2018,8041.549805,8371.980469,7989.700195,8124.390137,8124.390137,6341431,0.010301538
27/01/2018,7909.560059,8201.480469,7710.669922,8041.549805,8041.549805,6329556,0.016687369
26/01/2018,7962.810059,8161.589844,7347.27002,7909.560059,7909.560059,8857600,-0.006687338
25/01/2018,8261.339844,8399.929688,7726.890137,7962.810059,7962.810059,5871682,-0.036135759
24/01/2018,7970.52002,8299.299805,7743.75,8261.339844,8261.339844,5318267,0.036922762
23/01/2018,7935.620117,8353.339844,7369.600098,7967.169922,7967.169922,7183363,0.00397572
22/01/2018,8503.120117,8805.660156,7377.810059,7935.620117,7935.620117,8559148,-0.066740207
21/01/2018,9474,9475.089844,8265.139648,8503.120117,8503.120117,6821094,-0.102478349
20/01/2018,8573.030273,9623.540039,8548.55957,9474,9474,6453947,0.105093497
19/01/2018,8311.620117,8721.290039,8114.209961,8573.030273,8573.030273,6320098,0.031451167
18/01/2018,8197.589844,8848.879883,7856.379883,8311.620117,8311.620117,18599779,0.013933652
17/01/2018,8283.469727,8732.360352,6660.839844,8197.400391,8197.400391,30631875,-0.01057806
16/01/2018,10036.4502,10058.33008,7263.189941,8285.040039,8285.040039,34415326,-0.173789537
15/01/2018,10103.58008,10562.96973,9971.230469,10027.75977,10027.75977,12938442,-0.007499409
14/01/2018,10495.29004,10691.70996,9797.650391,10103.53027,10103.53027,11324357,-0.037327198
13/01/2018,10233.66992,10735.01953,10190.12012,10495.29004,10495.29004,10010284,0.025564643
12/01/2018,10000.32031,10436.51953,9678.169922,10233.66992,10233.66992,14867227,0.02179339
11/01/2018,10972.19043,11012.38965,9733.19043,10015.40039,10015.40039,23864076,-0.08720137
10/01/2018,10925.12012,10973,10221.66992,10972.19043,10972.19043,19736205,0.004308448
09/01/2018,11318.16992,11508.26953,10770.17969,10925.12012,10925.12012,13456526,-0.034727329
08/01/2018,12122.46973,12187.7002,10545.21973,11318.16992,11318.16992,20360322,-0.06634785
07/01/2018,12706.65039,12745.17969,11828.50977,12122.46973,12122.46973,10726367,-0.045974403
06/01/2018,12553.66992,12747.82031,12034.25977,12706.65039,12706.65039,11666773,0.012186115
05/01/2018,11251.42969,12632.95996,11031.51953,12553.66992,12553.66992,18617976,0.115739979
04/01/2018,11372.87012,11544.28027,10654.29004,11251.42969,11251.42969,13442137,-0.010678081
03/01/2018,10951.83008,11456.62988,10886.75977,11372.87012,11372.87012,13513231,0.03844472
02/01/2018,10029.44043,11251.05957,9560.120117,10951.83008,10951.83008,16019817,0.091968206
01/01/2018,10304.21973,10307.30957,9582.410156,10029.44043,10029.44043,6334640,-0.026666677
31/12/2017,9529.730469,10560.54981,9414.870117,10304.21973,10304.21973,10182274,0.078396616
30/12/2017,10916.82031,10945.87012,9236,9555.129883,9555.129883,16565666,-0.124733246
29/12/2017,10881.33984,11285.05957,10564.62988,10916.82031,10916.82031,12504024,0.003260671
28/12/2017,11718.91016,11736.16992,10246.36035,10881.33984,10881.33984,16213132,-0.07147169
27/12/2017,11965.73047,12513.50977,11029.42969,11718.91016,11718.91016,15518382,-0.020281688
26/12/2017,10624.80957,12112.13965,10614.41992,11961.50977,11961.50977,11734125,0.125526394
25/12/2017,10526.45996,11049.69043,10105.76953,10627.48047,10627.48047,12878399,0.009596817
24/12/2017,11437.12012,11448.90039,9655.790039,10526.45996,10526.45996,18491609,-0.079652202
23/12/2017,10726.63965,12260.86035,10481.15039,11437.48047,11437.48047,31000881,0.066268733
22/12/2017,11868.45996,11977.65039,7811.109863,10726.63965,10726.63965,64620754,-0.095646248
21/12/2017,12364.87012,12962.2002,11237.86035,11861.11035,11861.11035,29357194,-0.04074121
20/12/2017,13205.73047,13427.17969,9769.990234,12364.87012,12364.87012,37308677,-0.063673899
19/12/2017,14325.05957,14468.87988,12918.25977,13205.73047,13205.73047,29810349,-0.078137832
18/12/2017,14943.41992,15094.62012,13868.69043,14325.05957,14325.05957,26244134,-0.041380109
17/12/2017,14696.37012,15339.58984,13908.76953,14943.41992,14943.41992,16516260,0.01681026
16/12/2017,13246.17969,14887.33984,13092.30957,14696.37012,14696.37012,18421901,0.1094799
15/12/2017,12314.12012,13431.58008,12295.90039,13246.17969,13246.17969,20719779,0.07569031
14/12/2017,12428.87012,12746.13965,12079.91992,12314.12012,12314.12012,18917108,-0.009232537
13/12/2017,12936.79004,13058.87012,11820.92969,12428.87012,12428.87012,24250769,-0.039261665
12/12/2017,12638.20996,13258.62988,12229.80957,12936.79004,12936.79004,22514657,0.023625187
11/12/2017,11346.33008,12992.61035,11331.5,12638.20996,12638.20996,25336271,0.111914572
