Date,Open,High,Low,Close,Adj Close,Volume,Return Series (Step 1),Historical (Step 2),,,Return Series (Step 1) : Sorted Order,S.No for Return Series (Step 1) : Sorted Order,Covariance,,Monte Carlo,,New Close Price,Return Value of New Close Price,Sorted : Return Value of New Close Price,New Return : S.No
08/02/2018,89.709999,89.879997,84.760002,85.010002,85.010002,55128600,-0.051333545,Largest profit from Return Series column -->,0.19565215,,-0.301158224,1,Mean -->,0.001127428,M,8044,84.1029233,-0.051333545,-0.301158224,1
07/02/2018,90.489998,91.769997,89.199997,89.610001,89.610001,41107600,-0.018832815,Largest loss from Return Series column -->,-0.301158224,,-0.186529405,2,Standard Deviation -->,0.021595511,M/R,4022,88.65383912,-0.018832815,-0.186529405,2
06/02/2018,86.889999,91.480003,85.25,91.330002,91.330002,67998600,0.037840932,Row count of Return Series (Step 1) -->,8044,VaR Value Below,-0.155977741,3,VaR (95) -->,-0.036760021,Random number (q),-0.010670259,90.35548727,0.037840932,-0.155977741,3
05/02/2018,90.559998,93.239998,88,88,88,51031500,-0.041185433,VaR (95),402.2,-0.030568054,-0.144705618,4,VaR (99) -->,-0.051444969,n,84.1029233,87.06101725,-0.041185433,-0.144705618,4
02/02/2018,93.639999,93.970001,91.5,91.779999,91.779999,47867800,-0.026310237,VaR (99),80.44,-0.056283052,-0.137098156,5,,,VaR(95),VaR(99),90.80068268,-0.026310237,-0.137098156,5
01/02/2018,94.790001,96.07,93.580002,94.260002,94.260002,47227900,-0.007893906,,,,-0.118155324,6,,,402.2,80.44,93.25422341,-0.007893906,-0.118155324,6
31/01/2018,93.75,95.400002,93.510002,95.010002,95.010002,48756300,0.024477076,,,,-0.117130947,7,,,-0.030568054,-0.056283052,93.99622071,0.024477076,-0.117130947,7
30/01/2018,93.300003,93.660004,92.099998,92.739998,92.739998,38635100,-0.012563884,,,,-0.113995944,8,,,,,91.75043824,-0.012563884,-0.113995944,8
29/01/2018,95.139999,95.449997,93.720001,93.919998,93.919998,31569900,-0.001488412,,,,-0.11376136,9,,,,,92.91784734,-0.001488412,-0.11376136,9
26/01/2018,93.120003,94.059998,92.580002,94.059998,94.059998,29172200,0.018737095,,,,-0.113738419,10,,,,,93.0563535,0.018737095,-0.113738419,10
25/01/2018,92.470001,93.239998,91.93,92.330002,92.330002,26383200,0.005554367,,,,-0.094717686,11,,,,,91.34481701,0.005554367,-0.094717686,11
24/01/2018,92.550003,93.43,91.580002,91.82,91.82,33277500,-0.000870533,,,,-0.093959536,12,,,,,90.84025686,-0.000870533,-0.093959536,12
23/01/2018,91.900002,92.300003,91.540001,91.900002,91.900002,23412800,0.003165604,,,,-0.093894668,13,,,,,90.91940522,0.003165604,-0.093894668,13
22/01/2018,90,91.620003,89.739998,91.610001,91.610001,23601600,0.0178889,,,,-0.092685114,14,,,,,90.6324986,0.0178889,-0.092685114,14
19/01/2018,90.139999,90.610001,89.660004,90,90,36875000,-0.001109856,,,,-0.09253343,15,,,,,89.03967673,-0.001109856,-0.09253343,15
18/01/2018,89.800003,90.669998,89.660004,90.099998,90.099998,24159700,-0.000443765,,,,-0.088479733,16,,,,,89.13860773,-0.000443765,-0.088479733,16
17/01/2018,89.080002,90.279999,88.75,90.139999,90.139999,25621200,0.02026034,,,,-0.088061885,17,,,,,89.1781819,0.02026034,-0.088061885,17
16/01/2018,90.099998,90.790001,88.010002,88.349998,88.349998,36599700,-0.013950893,,,,-0.087226341,18,,,,,87.40728068,-0.013950893,-0.087226341,18
12/01/2018,88.669998,89.779999,88.449997,89.599998,89.599998,24271500,0.017256993,,,,-0.083792817,19,,,,,88.64394286,0.017256993,-0.083792817,19
11/01/2018,88.129997,88.129997,87.239998,88.080002,88.080002,17808900,0.002960624,,,,-0.082550673,20,,,,,87.14016561,0.002960624,-0.082550673,20
10/01/2018,87.860001,88.190002,87.410004,87.82,87.82,18652200,-0.004534131,,,,-0.08238355,21,,,,,86.88293789,-0.004534131,-0.08238355,21
09/01/2018,88.650002,88.730003,87.860001,88.220001,88.220001,19484300,-0.000679633,,,,-0.081560916,22,,,,,87.27867078,-0.000679633,-0.081560916,22
08/01/2018,88.199997,88.580002,87.599998,88.279999,88.279999,22113000,0.00102049,,,,-0.081104226,23,,,,,87.33802859,0.00102049,-0.081104226,23
05/01/2018,87.660004,88.410004,87.43,88.190002,88.190002,23407100,0.012398129,,,,-0.079624064,24,,,,,87.24899188,0.012398129,-0.079624064,24
04/01/2018,86.589996,87.660004,86.57,87.110001,87.110001,21912000,0.008801425,,,,-0.079557312,25,,,,,86.18051477,0.008801425,-0.079557312,25
03/01/2018,86.059998,86.510002,85.970001,86.349998,86.349998,26061400,0.00465388,,,,-0.078838324,26,,,,,85.4286212,0.00465388,-0.078838324,26
02/01/2018,86.129997,86.309998,85.5,85.949997,85.949997,22483800,0.004793032,,,,-0.078339099,27,,,,,85.03288831,0.004793032,-0.078339099,27
29/12/2017,85.629997,86.050003,85.5,85.540001,85.540001,18717400,-0.00209986,,,,-0.074436928,28,,,,,84.62726707,-0.00209986,-0.074436928,28
28/12/2017,85.900002,85.93,85.550003,85.720001,85.720001,10594300,0.000116696,,,,-0.074382268,29,,,,,84.80534643,0.000116696,-0.074382268,29
27/12/2017,85.650002,85.980003,85.220001,85.709999,85.709999,14678000,0.003629941,,,,-0.074360685,30,,,,,84.79545115,0.003629941,-0.074360685,30
26/12/2017,85.309998,85.529999,85.029999,85.400002,85.400002,9891200,-0.001286399,,,,-0.073919215,31,,,,,84.4887619,-0.001286399,-0.073919215,31
22/12/2017,85.400002,85.629997,84.919998,85.510002,85.510002,14145800,0.000116982,,,,-0.073545874,32,,,,,84.59758817,0.000116982,-0.073545874,32
21/12/2017,86.050003,86.099998,85.400002,85.5,85.5,17990700,-0.000233828,,,,-0.072869027,33,,,,,84.58769289,-0.000233828,-0.072869027,33
20/12/2017,86.199997,86.300003,84.709999,85.519997,85.519997,23674900,-0.003611849,,,,-0.07239265,34,,,,,84.60747652,-0.003611849,-0.07239265,34
19/12/2017,86.349998,86.349998,85.269997,85.830002,85.830002,23524800,-0.006367157,,,,-0.072086748,35,,,,,84.91417369,-0.006367157,-0.072086748,35
18/12/2017,87.120003,87.5,86.230003,86.379997,86.379997,22283800,-0.005411641,,,,-0.071710182,36,,,,,85.4583001,-0.005411641,-0.071710182,36
15/12/2017,85.260002,87.089996,84.879997,86.849998,86.849998,53936700,0.025504734,,,,-0.071536435,37,,,,,85.92328607,0.025504734,-0.071536435,37
